"items","support","count"
"{existing construction type5,few proposed stories,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few existing stories,few proposed stories,some streets}",0.0532650802434975,1155
"{existing construction type5,few districts,few existing stories,few existing units,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few existing stories,few existing units,few proposed units,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few districts,few existing stories,few proposed units,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few districts,few existing stories,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few existing stories,few proposed units,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few existing stories,few existing units,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few districts,few existing stories,few existing units,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few districts,few existing stories,few existing units,some streets}",0.0532650802434975,1155
"{existing construction type5,few existing stories,few existing units,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few districts,few existing stories,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few districts,few existing stories,some streets}",0.0532650802434975,1155
"{existing construction type5,few existing stories,few proposed units,some streets}",0.0532650802434975,1155
"{existing construction type5,few existing stories,few existing units,some streets}",0.0532650802434975,1155
"{existing construction type5,few existing stories,Permit type8,some streets}",0.0508669987087253,1103
"{existing construction type5,few districts,few existing units,few proposed units,Permit type8,some streets}",0.052158273381295,1131
"{existing construction type5,few districts,few existing units,Permit type8,some streets}",0.052158273381295,1131
"{existing construction type5,few existing units,few proposed units,Permit type8,some streets}",0.052158273381295,1131
"{existing construction type5,few districts,few proposed units,Permit type8,some streets}",0.052158273381295,1131
"{existing construction type5,few districts,Permit type8,some streets}",0.052158273381295,1131
"{existing construction type5,few proposed units,Permit type8,some streets}",0.052158273381295,1131
"{existing construction type5,few existing units,Permit type8,some streets}",0.052158273381295,1131
"{existing construction type5,few districts,few existing units,few proposed units,some streets}",0.0546485888212507,1185
"{existing construction type5,few districts,few existing units,some streets}",0.0546485888212507,1185
"{existing construction type5,few existing units,few proposed units,some streets}",0.0546485888212507,1185
"{existing construction type5,few districts,few proposed units,some streets}",0.0546485888212507,1185
"{existing construction type5,few districts,some streets}",0.0546485888212507,1185
"{existing construction type5,few proposed units,some streets}",0.0546485888212507,1185
"{existing construction type5,few existing units,some streets}",0.0546485888212507,1185
"{existing construction type5,Permit type8,some streets}",0.052158273381295,1131
"{existing construction type5,few existing stories,some streets}",0.0532650802434975,1155
"{existing construction type5,few proposed stories,some streets}",0.0532650802434975,1155
"{few districts,few existing stories,few existing units,few proposed stories,few units,some streets}",0.0507747648035418,1101
"{few existing stories,few existing units,few proposed stories,few proposed units,few units,some streets}",0.0507747648035418,1101
"{few districts,few existing stories,few proposed stories,few proposed units,few units,some streets}",0.0507747648035418,1101
"{few districts,few existing stories,few proposed stories,few units,some streets}",0.0507747648035418,1101
"{few existing stories,few proposed stories,few proposed units,few units,some streets}",0.0507747648035418,1101
"{few existing stories,few existing units,few proposed stories,few units,some streets}",0.0507747648035418,1101
"{few districts,few existing stories,few existing units,few proposed stories,Permit type8,some streets}",0.0540490684375576,1172
"{few existing stories,few existing units,few proposed stories,few proposed units,Permit type8,some streets}",0.0540490684375576,1172
"{few districts,few existing stories,few proposed stories,few proposed units,Permit type8,some streets}",0.0540490684375576,1172
"{few districts,few existing stories,few proposed stories,Permit type8,some streets}",0.0540490684375576,1172
"{few existing stories,few proposed stories,few proposed units,Permit type8,some streets}",0.0540490684375576,1172
"{few existing stories,few existing units,few proposed stories,Permit type8,some streets}",0.0540490684375576,1172
"{few districts,few existing stories,few existing units,few proposed stories,few proposed units,some streets}",0.0569544364508393,1235
"{few districts,few existing stories,few existing units,few proposed stories,some streets}",0.0569544364508393,1235
"{few existing stories,few existing units,few proposed stories,few proposed units,some streets}",0.0569544364508393,1235
"{few districts,few existing stories,few proposed stories,few proposed units,some streets}",0.0569544364508393,1235
"{few districts,few existing stories,few proposed stories,some streets}",0.0569544364508393,1235
"{few existing stories,few proposed stories,few proposed units,some streets}",0.0569544364508393,1235
"{few existing stories,few existing units,few proposed stories,some streets}",0.0569544364508393,1235
"{few existing stories,few proposed stories,Permit type8,some streets}",0.0540490684375576,1172
"{few existing stories,few proposed stories,few units,some streets}",0.0507747648035418,1101
"{few districts,few existing units,few proposed stories,few proposed units,few units,some streets}",0.0507747648035418,1101
"{few districts,few existing units,few proposed stories,few units,some streets}",0.0507747648035418,1101
"{few existing units,few proposed stories,few proposed units,few units,some streets}",0.0507747648035418,1101
"{few districts,few proposed stories,few proposed units,few units,some streets}",0.0507747648035418,1101
"{few districts,few proposed stories,few units,some streets}",0.0507747648035418,1101
"{few proposed stories,few proposed units,few units,some streets}",0.0507747648035418,1101
"{few existing units,few proposed stories,few units,some streets}",0.0507747648035418,1101
"{few districts,few existing units,few proposed stories,few proposed units,Permit type8,some streets}",0.0540490684375576,1172
"{few districts,few existing units,few proposed stories,Permit type8,some streets}",0.0540490684375576,1172
"{few existing units,few proposed stories,few proposed units,Permit type8,some streets}",0.0540490684375576,1172
"{few districts,few proposed stories,few proposed units,Permit type8,some streets}",0.0540490684375576,1172
"{few districts,few proposed stories,Permit type8,some streets}",0.0540490684375576,1172
"{few proposed stories,few proposed units,Permit type8,some streets}",0.0540490684375576,1172
"{few existing units,few proposed stories,Permit type8,some streets}",0.0540490684375576,1172
"{few districts,few existing units,few proposed stories,few proposed units,some streets}",0.0569544364508393,1235
"{few districts,few existing units,few proposed stories,some streets}",0.0569544364508393,1235
"{few existing units,few proposed stories,few proposed units,some streets}",0.0569544364508393,1235
"{few districts,few proposed stories,few proposed units,some streets}",0.0569544364508393,1235
"{few districts,few proposed stories,some streets}",0.0569544364508393,1235
"{few proposed stories,few proposed units,some streets}",0.0569544364508393,1235
"{few existing units,few proposed stories,some streets}",0.0569544364508393,1235
"{few proposed stories,Permit type8,some streets}",0.0540490684375576,1172
"{few proposed stories,few units,some streets}",0.0507747648035418,1101
"{few existing stories,few proposed stories,some streets}",0.0569544364508393,1235
"{few districts,few existing stories,few existing units,few proposed units,few units,some streets}",0.0513281682346431,1113
"{few districts,few existing stories,few existing units,few units,some streets}",0.0513281682346431,1113
"{few existing stories,few existing units,few proposed units,few units,some streets}",0.0513281682346431,1113
"{few districts,few existing stories,few proposed units,few units,some streets}",0.0513281682346431,1113
"{few districts,few existing stories,few units,some streets}",0.0513281682346431,1113
"{few existing stories,few proposed units,few units,some streets}",0.0513281682346431,1113
"{few existing stories,few existing units,few units,some streets}",0.0513281682346431,1113
"{few districts,few existing stories,few existing units,few proposed units,Permit type8,some streets}",0.0545563549160671,1183
"{few districts,few existing stories,few existing units,Permit type8,some streets}",0.0545563549160671,1183
"{few existing stories,few existing units,few proposed units,Permit type8,some streets}",0.0545563549160671,1183
"{few districts,few existing stories,few proposed units,Permit type8,some streets}",0.0545563549160671,1183
"{few districts,few existing stories,Permit type8,some streets}",0.0545563549160671,1183
"{few existing stories,few proposed units,Permit type8,some streets}",0.0545563549160671,1183
"{few existing stories,few existing units,Permit type8,some streets}",0.0545563549160671,1183
"{few districts,few existing stories,few existing units,few proposed units,some streets}",0.0575078398819406,1247
"{few districts,few existing stories,few existing units,some streets}",0.0575078398819406,1247
"{few existing stories,few existing units,few proposed units,some streets}",0.0575078398819406,1247
"{few districts,few existing stories,few proposed units,some streets}",0.0575078398819406,1247
"{few districts,few existing stories,some streets}",0.0575078398819406,1247
"{few existing stories,few proposed units,some streets}",0.0575078398819406,1247
